"resposta";"n";"n_low";"n_upp";"pct";"pct_low";"pct_upp";"Ano";"var"
"N?o";95867863,7777305;95260581,4296099;96475146,1258512;0,679598580854988;0,674963370504591;0,684233791205386;"2008";"Internet"
"Sim";45197562,8997667;44483091,9736148;45912033,8259186;0,320401419145012;0,315766208794615;0,325036629495409;"2008";"Internet"
NA;0;0;0;0;0;0;"2008";"Internet"
"N?o";87736460,3576978;87033444,9181831;88439475,7972125;0,611810603386495;0,606614192150701;0,617007014622289;"2009";"Internet"
"Sim";55668148,6374045;54849512,402933;56486784,8718759;0,388189396613506;0,382992985377712;0,3933858078493;"2009";"Internet"
NA;0;0;0;0;0;0;"2009";"Internet"
"N?o";83212530,8733809;82558802,9066322;83866258,8401296;0,5615586452674;0,557055622946561;0,566061667588238;"2011";"Internet"
"Sim";64968841,7662608;64238072,2397783;65699611,2927433;0,438441354732601;0,433938332411763;0,442944377053439;"2011";"Internet"
NA;0;0;0;0;0;0;"2011";"Internet"
"N?o";80528103,8030697;79855116,43912;81201091,1670193;0,534890813778245;0,530302187825293;0,539479439731198;"2012";"Internet"
"Sim";70022441,7078035;69264890,9504744;70779992,4651326;0,465109186221755;0,460520560268802;0,469697812174707;"2012";"Internet"
NA;0;0;0;0;0;0;"2012";"Internet"
"N?o";80926698,5734238;80247674,0142159;81605723,1326317;0,528783797804745;0,524317285356476;0,533250310253014;"2013";"Internet"
"Sim";72116376,7049647;71370798,2119333;72861955,1979961;0,471216202195254;0,466749689746985;0,475682714643523;"2013";"Internet"
NA;0;0;0;0;0;0;"2013";"Internet"
"N?o";74274874,8140481;73591313,644471;74958435,9836252;0,476981530619808;0,472607198581691;0,481355862657925;"2014";"Internet"
"Sim";81443680,4044999;80706675,427026;82180685,3819738;0,523018469380193;0,518644137342076;0,52739280141831;"2014";"Internet"
NA;0;0;0;0;0;0;"2014";"Internet"
"N?o";69991292,8132622;69276682,1232241;70705903,5033003;0,442531597525454;0,438104425556441;0,446958769494467;"2015";"Internet"
"Sim";88169826,538755;87421606,1201189;88918046,9573911;0,557468402474546;0,553041230505533;0,561895574443558;"2015";"Internet"
NA;0;0;0;0;0;0;"2015";"Internet"
"N?o";57601930,6154424;57002652,8735988;58201208,3572859;0,360368902861885;0,356815948937012;0,363921856786758;"2016";"Internet"
"Sim";102239637,727426;101637472,038218;102841803,416633;0,639631097138115;0,636078143213242;0,643184051062987;"2016";"Internet"
NA;0;0;0;0;0;0;"2016";"Internet"
"N?o";49935323,5274196;49373728,6119671;50496918,4428722;0,308164777859108;0,304758396696793;0,311571159021423;"2017";"Internet"
"Sim";112105659,463342;111491835,676299;112719483,250385;0,691835222140892;0,688428840978577;0,695241603303207;"2017";"Internet"
NA;0;0;0;0;0;0;"2017";"Internet"
"N?o";42129889,891705;41641681,0643269;42618098,7190831;0,257172978086956;0,254279830777871;0,260066125396041;"2018";"Internet"
"Sim";121689381,499475;121144210,713315;122234552,285636;0,742827021913044;0,739933874603959;0,745720169222129;"2018";"Internet"
NA;0;0;0;0;0;0;"2018";"Internet"
"N?o";36448847,507253;35988547,9542799;36909147,060226;0,220398223214936;0,217711625808372;0,223084820621499;"2019";"Internet"
"Sim";128928381,835052;128407049,588051;129449714,082053;0,779601776785064;0,776915179378501;0,782288374191628;"2019";"Internet"
NA;0;0;0;0;0;0;"2019";"Internet"
"N?o";60422192,6038174;59596407,8435291;61247977,3641056;0,42832743661531;0,422220893861053;0,434433979369567;"2008";"Cell phone"
"Sim";80643234,0736799;79683632,3595543;81602835,7878054;0,57167256338469;0,565566020630434;0,577779106138947;"2008";"Cell phone"
NA;0;0;0;0;0;0;"2008";"Cell phone"
